Team #,Wins,Losses,Ties,CS,OCS,PD
1017,3,4,1,12.5,59.5,+6
1086,5,3,0,16,71,+23
1087,2,6,0,17,57.5,-58
1094,7,1,0,9.5,78,+80
1132,6,1,1,15.5,80,+79
1133,3,5,0,22.5,51.5,-3
1170,7,1,0,16,73.5,+69
1196,3,5,0,21,50,-31
1205,6,1,1,14.5,84,+38
1206,4,4,0,15.5,59.5,+11
1222,7,0,1,19.5,69,+47
1223,5,3,0,11.5,69.5,+23
1255,2,6,0,18,60.5,-50
1272,4,4,0,20,69.5,+10
1302,4,3,1,22.5,60,-13
1343,4,4,0,17.5,57,+21
1365,2,5,1,9,64.5,-38
1388,3,5,0,21.5,51,-3
1410,7,1,0,19.5,74,+65
1411,4,4,0,14.5,64.5,+73
1435,1,7,0,14.5,55.5,-91
1541,0,7,1,13,41.5,-91
1560,2,6,0,11.5,67.5,-69
1655,1,6,1,11.5,67.5,-98
